"MonitoringLocationIdentifier","AnalysisStartDate","CharacteristicName","ResultMeasureValue","ResultMeasure.MeasureUnitCode","LongitudeMeasure","LatitudeMeasure","airport"
"21ARIZ_WQX-66628",2005-03-05,"1,4-Dioxane",1,"ug/L",-110.9678942,32.1070794,FALSE
"21ARIZ_WQX-66628",2006-02-23,"1,4-Dioxane",1,"ug/L",-110.9678942,32.1070794,FALSE
"21ARIZ_WQX-66637",2006-02-23,"1,4-Dioxane",1.3,"ug/L",-110.9604411,32.1023706,FALSE
"21ARIZ_WQX-66666",2007-10-01,"1,4-Dioxane",270,"ug/L",-110.9516858,32.1004442,TRUE
"21ARIZ_WQX-66677",2007-10-01,"1,4-Dioxane",160,"ug/L",-110.9516742,32.101555,TRUE
"21ARIZ_WQX-66678",2007-09-28,"1,4-Dioxane",1,"ug/L",-110.9527814,32.1004658,TRUE
"21ARIZ_WQX-66684",2007-09-28,"1,4-Dioxane",40,"ug/L",-110.9504061,32.0991878,TRUE
"21ARIZ_WQX-66687",2007-10-01,"1,4-Dioxane",180,"ug/L",-110.9517053,32.0992225,TRUE
"21ARIZ_WQX-66688",2007-10-02,"1,4-Dioxane",16,"ug/L",-110.9527947,32.0992147,TRUE
"21ARIZ_WQX-66720",2007-08-27,"1,4-Dioxane",2.9,"ug/L",-110.9530578,32.1094544,TRUE
"21ARIZ_WQX-66721",2007-08-27,"1,4-Dioxane",2.2,"ug/L",-110.9540864,32.11254,TRUE
